8661	6580	2715	402	2853	1138	7000	5413	3482	4604	
5700	4696	5845	9216	5425	5028	6148	3423	9755	3444	
721	3937	7879	8052	9849	3815	6783	1233	1193	3071	
7447	721	1343	1251	7800	7003	8424	8173	8235	4776	
923	2207	711	266	7157	1579	1052	2820	6560	1555	
4044	3280	9250	9213	2211	9567	6942	5554	7148	5636	
8379	29	2369	9731	503	4503	6370	1385	4928	7197	
6662	6726	5002	3538	8368	176	5485	6771	8986	1749	
8517	9990	7472	1748	1368	6136	6967	1414	6427	1666	
5268	7217	7724	8034	5068	7548	4873	8139	3189	8408	
5546	5843	2957	3072	3489	6069	9142	4567	4072	6357	
6005	8930	4326	5144	981	4825	2412	52	5998	8150	
5729	4392	6126	8308	5817	8263	1206	7458	15	4209	
6638	7387	2899	3898	5373	5992	9340	94	1711	8987	
1341	3210	1296	6150	425	5378	1164	9939	6071	6555	
1091	5683	3728	7344	7157	5820	2614	4372	1438	353	
3952	4339	4069	4339	5996	5885	5657	2010	7477	8384	
7176	6231	9874	2091	3989	6045	1644	6208	6423	9521	
3052	6208	1530	3156	7295	5338	3337	4305	9312	6228	
1803	487	993	9382	5118	2527	2718	2961	4344	6539	
8515	4591	4837	4056	5309	2754	4187	8713	901	662	
3993	4944	7910	2816	3968	2639	1663	3865	3036	3177	
155	674	4452	2785	9434	4694	7263	7819	5507	4797	
7860	8152	8968	6565	6113	4807	26	7811	9353	2479	
9936	6350	5505	2670	3017	7718	4493	9430	8739	9296	
4270	8676	3153	6785	1274	6318	9297	7468	9066	6094	
4545	5042	1813	8888	3872	5196	9409	8477	9920	3004	
4125	1126	2489	2606	3606	267	6087	7548	4019	7524	
706	6597	3418	7580	4959	1321	1926	7586	8548	7452	
8363	1670	2579	9632	8588	2888	6503	7847	6479	2373	
6810	3924	6341	5066	2213	2707	2147	8241	457	975	
6754	3882	1055	3245	5055	3910	2857	5145	7619	8092	
7807	5506	9520	9866	885	1825	491	6468	6894	6341	
6070	1860	1257	7645	9686	6998	199	7676	4322	6412	
7300	2257	6092	9674	9320	4519	5812	2744	7604	8114	
1529	9897	6511	4024	5772	2966	3596	5973	5883	4842	
7693	7441	7104	4554	2095	6180	4831	9847	2505	6310	
4402	654	5281	5550	2675	7808	607	494	9972	9367	
3817	9625	7350	9398	449	4032	2654	176	2096	7772	
4463	1376	8472	1784	6580	3550	2600	4757	3629	7495	
1630	3074	3599	3586	681	214	835	4481	1693	7982	
3624	4238	5374	6802	6512	7988	1186	8442	5328	4150	
6571	1915	767	8987	2168	3354	5319	5705	1322	7046	
5706	5837	6437	5724	5180	5490	95	5322	5203	3676	
8708	5282	5825	8317	3518	2970	2270	4038	6033	6536	
129	117	876	4606	6236	416	8062	5481	9295	9132	
8002	7584	5325	1379	3340	2072	4324	5128	5821	8478	
325	9040	2718	710	2262	9919	5058	3578	0	3673	
4293	2043	5760	2221	7033	314	4718	8414	9035	7433	
68	8452	5985	9408	9843	8836	6591	1252	844	1366	
8171	5002	4729	1286	3201	9077	9144	9649	4518	2819	
1187	2198	1690	7372	6512	2388	3071	8038	3612	5096	
8284	5169	2845	9072	5718	237	8017	6849	617	669	
2921	5139	8749	3592	1938	2857	1699	1486	2980	5489	
